"tfs","IN_BT_H","IN_AT_H","IN_BT_I","IN_AT_I","IN_BT_J","IN_AT_J","IN_BT_K","IN_AT_K","IN_BT_L","IN_AT_L"
"AHR",-3.93974116066328,0.367282204866071,-2.0356601363278,0.764421656990413,3.09289940126437,3.82596033556698,-0.998383432086334,-0.976935043428832,-4.61690024664502,2.69477834699899
"AR",-0.698667138309906,3.29472530692058,-0.365344862519035,1.76396072825953,0.341863747394233,2.26164226233919,-2.16817497009296,-0.126296067948826,-3.69859705523119,-1.07411983757984
"ARID1A",0.230082071182003,2.49505172529589,-1.51630993419448,1.44244933336706,0.25559609144525,0.316712256637743,-1.03713160772263,-1.85834228518094,-1.89455487335948,1.37895171193478
"ARID1B",0.379529349067648,3.51991393256499,-3.51465095046029,-1.95997755178946,-0.983529384956813,0.169788048634181,-0.443151233621012,-0.654452120478106,-1.00741489509643,4.77751876020897
"ARID2",0.607223124983337,4.18453424216327,-3.89112791368607,-0.521410178834018,0.544619259296159,1.6771615676568,-2.37792454458417,-2.6542818350855,-1.0756426192008,3.09436808844977
"ARID3A",-3.30009520307429,2.13502342433225,-2.32979636314902,2.45929012840495,2.45283537903896,1.82659046145544,-2.61651852595229,-1.56165065590227,-1.13145257128987,1.37601617656158
"ARNT",2.16927743888155,4.04761947069704,-2.21819327936898,-0.491860459996324,-2.19181011154352,0.57703499099608,-0.153656042311181,-0.448857406476576,-4.46176530576688,3.34460942030604
"ARNTL",-1.72502071352957,2.52505807625662,-0.539815741401527,3.06650681495672,-2.33484929013528,-0.28533092033968,-1.89331377848928,0.99304295101038,-0.490815837517138,1.41583590059308
"ASCL1",-0.227844520381529,1.23401801243478,-1.04098539663515,0.931284577545652,2.08036145223357,0.608177292806614,-0.965103050732508,-2.38253982126998,-1.6252500809903,1.57640462714118
"ATF1",-1.07627044983505,0.895801155499039,-1.06237726766294,0.256889835646513,0.807006126839249,1.98209784902072,-1.64580184913682,-1.34890475506045,-0.948161465935263,1.50896394479732
"ATF2",-0.756717995136761,3.49721185286813,-0.39417699733036,2.49950592844296,-1.56440794967801,-0.453428514712195,0.00612599810668269,0.135317120546834,-3.21915171775625,0.125042781161863
"ATF3",5.48596607964892,-2.11818010478551,3.78377797489881,-1.40855760425826,-3.98904810074233,-3.24344151691392,2.75516608459471,-1.52900046874909,2.24374115733445,-1.22837500038359
"ATF4",-1.93949781249772,2.63173640586492,0.166245492475041,1.39590760845643,-0.14266854147398,1.21456910268336,-1.54548071310466,0.287395562718564,-3.09684311264363,0.594088339131415
"ATF6",-2.46285564392424,5.20138485158006,-2.48620493243924,0.675893715577145,-0.812499977234568,1.65443251756691,-2.38892084847549,0.0927598107791023,-0.48064677560843,0.821820838756567
"ATF7",0.967381238351408,3.23334834307256,-0.817675211348043,-0.553413845458504,-1.83622948887811,-1.85075817887488,0.939415657761432,0.510850716424348,-1.46463535674115,2.35393059684929
"BACH1",-2.3325204773262,0.712222012750914,-1.70228044944546,0.193081199298741,2.11527614712762,1.2626221406167,-1.72960611536026,0.362078098993538,-0.655401199496437,1.2309205288119
"BACH2",-3.36735977639848,2.39558199391612,-2.73150150650968,0.0124351111101633,1.69980515010885,3.09533165101298,-2.50782396740612,1.65036773089595,-2.52609633337463,1.63166746813433
"BATF",-3.57195779814341,-0.607633166656783,-1.05220937257051,1.47639957747221,2.72341588652748,2.08937590252057,-1.05254498048806,-1.37504266831607,-1.50590145430772,1.68189001939954
"BCL11A",0.377038070935494,3.43549265234596,0.731844017884682,1.38361820370371,0.0779913317628912,0.6372372260681,-0.589374132415762,-1.88058922113164,-3.55434116208513,-1.1779166843907
"BCL3",-7.7957229906907,0.814732515767526,-3.9415404983015,3.33433329073306,5.83719235899922,6.40988559672169,-5.53613819405722,-0.08066528542614,-2.02795008815319,0.967349251751529
"BCL6",1.12254595712386,-2.0219075173118,1.02633137661792,-2.25113401453324,-1.80552533064081,-2.770637145019,2.98828199869099,2.34995526769187,3.00936533432511,-0.775805214336829
"BHLHE22",1.1804141758289,-0.00226949875804172,0.978772572038172,0.418439874877624,-1.41763709978549,-0.561598660693228,-0.365446312174261,1.33738975086477,0.961135337769435,-1.72350693046271
"BHLHE40",3.92044262428075,-2.93765601518547,3.1518345393324,-2.95418664773226,-3.6455496736797,-3.08482823409371,3.50327900230431,-0.347481775120353,3.97047595590299,-0.452936527999079
"CDX2",0.728831230832118,0.659151547157104,-2.83770929084276,-1.19962691327693,1.43366224127656,0.599591794023583,-0.298034558300103,-0.216823497797938,0.113890957392655,0.628060063424391
"CEBPA",-2.38784039752622,0.902763712037703,-1.77235720310952,1.83638212493006,2.54374470805044,1.83047573178683,-1.74290336979566,-1.8896352736345,-1.90741629375705,0.991144058976467
"CEBPB",-3.05350841547577,1.84149412799802,-1.98741634440413,1.01810734470631,2.76399023003527,2.60136307865517,-1.65221277010031,-1.47507209293372,-2.67847290690888,1.6449237278463
"CEBPD",-1.46335796208658,0.879660490500638,-1.03540403949848,1.71584596468394,0.498939923396259,0.449564500872177,-0.357607395480734,0.632631315921724,-0.911089325732698,-0.0696654010858657
"CEBPG",-0.416083085522224,2.86620956402689,-1.04962454171235,0.951088085249278,-0.186078736987363,1.87250412280826,-2.10032948432013,-2.13880386339346,-2.22818095822652,1.18199445658785
"CLOCK",-1.54198742097407,2.14275584154721,-0.294039390923953,3.67966194421259,0.456392628751636,0.121835582352106,-1.96461402063094,-0.84190512957988,-2.17702337715575,0.261522685938333
"CREB1",-0.369163935805779,2.69691948803297,-0.963436576936537,0.775380713489273,-1.21318277649595,0.0572888835547613,-0.149108204401856,0.817138598960103,-2.22789645883845,0.834223953888987
"CREB3",-2.36423083022418,-1.98455624624251,-0.391259498589108,0.58655705577514,2.12364243030742,3.21013595789025,-0.377062783972374,0.868381501809145,-0.988961643413513,-1.2029909635049
"CREB3L1",-1.01018323477764,0.653834015212217,-0.560209927312598,0.502295329177085,1.72508718820427,1.0191916427276,0.307214062526874,-0.127419017036181,-2.157277813275,-0.995125588336457
"CREM",-2.90767805286054,1.81055473071556,-1.58210220041241,2.5358478562608,2.51046406220425,2.64693302083445,-2.0602793433097,0.283559124522137,-3.44485098279276,-0.38637382187815
"CTCF",1.11748984094829,-0.238416263270631,0.199539361520393,0.28898265879106,-0.860288469671183,-0.936171488679083,0.5323639088711,-1.57817728346389,0.00501959709948394,1.64970980005496
