gene,IN_BT_H,IN_AT_H,IN_BT_I,IN_AT_I,IN_BT_J,IN_AT_J,IN_BT_K,IN_AT_K,IN_BT_L,IN_AT_L
MTND1P23,6.689174535126622,7.130892234940733,7.200223816387429,7.033124498209729,6.97599068210897,6.988176906516583,6.805791021654163,7.168075126186588,7.053912688412816,6.75751720820148
MTND2P28,12.5723628937861,12.318970671505621,12.50656130052186,12.820606922561762,12.324004898648365,12.378692250251484,12.621335070627618,12.699695893362485,12.58587992697087,12.556416479430414
MTCO1P12,10.373301015525422,10.382909465314947,10.137480198201393,10.310562857096137,10.499820980136997,10.70838248614696,10.509694332999757,10.640061445260912,10.572689709240692,10.55062725521758
MTCO2P12,6.667326646790269,6.6748481692218595,6.834030942122401,6.505718354138951,6.599846018492528,6.840584213178572,6.755519625950091,6.689942972966008,6.63245559207313,6.6238288932173655
MTATP6P1,15.513795433693078,15.610391925933998,15.733026715029393,15.760193906640964,15.486372002266064,15.4948856135987,15.50246654127291,15.839879547979352,15.45182786871277,15.585975330187107
MTCO3P12,6.588144863584235,6.792507073067989,7.081864156518827,7.0447037984692376,7.100542691355195,6.924435716213897,6.442552602810617,6.689942972966008,6.63245559207313,6.637768844621398
AL669831.1,6.375563660518254,6.546740781331042,6.3262115983922325,6.229615845086757,6.4203192716715,6.695383222947144,6.326838240364532,6.3455349270833326,6.553029768260793,6.6238288932173655
LINC01128,7.141511973575126,7.450287641488412,7.588706453721733,7.758015577125996,7.696368777326979,7.835886522586042,7.337083857119112,7.568877121512219,7.137980934771276,7.566816044416019
LINC02593,7.3547653100520325,7.196413392741959,7.554923744574683,7.033124498209729,7.100542691355195,6.874711599295132,7.174394528311904,7.243090453739352,7.034546628435224,6.832163690293073
SAMD11,7.347913059277367,7.41402099020003,7.260150635337663,7.176859309007088,7.940161803248044,7.886950446491559,7.379200305508633,7.941331275391067,8.128967685173283,7.826246033043476
NOC2L,9.717002968778685,9.756969309223857,9.563325485832978,9.657498037639476,9.647256927598036,9.669438003779874,9.490374568828438,9.656940731721212,9.542971235485616,9.455367203867546
KLHL17,7.248399613558485,7.153064812150424,7.200223816387429,7.373330952909791,7.667365718293804,7.538729319505947,7.267031304017264,7.465257485447275,7.55305070776572,7.259335604393535
HES4,6.441400965690551,6.734876158340906,6.788248407116328,7.521578850107198,6.826609241977895,6.596607204977294,6.442552602810617,6.705182498567365,6.483331106125108,6.566682624741463
ISG15,6.552833466807101,6.792507073067989,7.003887983692206,6.899215088336733,6.745689813299026,6.874711599295132,7.0754006327111325,7.1899089237480425,7.053912688412816,7.045898423402955
AGRN,11.305059941866496,10.98028835575876,10.984077922870279,11.67102504577941,11.206671544059231,10.6243550669182,11.244665952401375,10.831947492563076,11.075646583232183,10.765902990720257
AL645608.5,8.008617004419627,7.71164010722701,7.931806367458075,7.792768058831975,7.745762256574755,7.737300367033094,7.678060605360965,7.601826879155974,7.726013738721425,7.507304910013216
C1orf159,6.955704268296863,7.026670767259578,7.226212051059222,7.707911485214636,7.454682155252151,7.122066199321183,7.230687050435398,7.065516489354077,7.490460419260692,7.117293842985511
AL390719.2,6.9099175664876125,7.269274585996761,7.110052188910322,7.806438018007384,8.084278714054205,7.718628761650916,6.549676930046964,7.3439118756259525,7.340811593765379,7.241185276541903
SDF4,10.799054596592304,10.804936785827246,10.894392120560198,11.052529283968733,11.046240542590578,11.065020435376278,11.056956182530236,11.0348500259613,10.977630916010273,10.862582150458552
