sample,condition
IN_BT_H,BT
IN_AT_H,AT
IN_BT_I,BT
IN_AT_I,AT
IN_BT_J,BT
IN_AT_J,AT
IN_BT_K,BT
IN_AT_K,AT
IN_BT_L,BT
IN_AT_L,AT
