"Table S2: Transcription factor influence score in the early response to IRI",,,,,,,
,"gene","gene_score","influence_score","num_vertices","num_v_activated","prop_activated","final_score"
1,"FOS",5.3291371,6.8318112421033,849,64,0.08,20.0097444852914
2,"FOSB",6.7547304,8.79496244396677,122,16,0.13,18.3494563553853
3,"ATF3",5.6122749,7.29470802619329,199,40,0.2,16.769461987525
4,"JUN",4.0551042,5.47304935081142,1106,65,0.06,16.6586220216848
5,"EGR1",4.2100114,5.79729502611545,468,40,0.09,15.480203002532
6,"EGR2",4.1718434,6.39050038448775,200,16,0.08,14.7047330720085
7,"KLF4",4.1403738,6.06280163074862,240,14,0.06,14.4307485977753
8,"IL6",3.368124,4.89086997144879,621,49,0.08,13.6606478348095
9,"NR4A2",3.1181337,5.81101599308947,136,12,0.09,12.398028718418
10,"NR4A1",3.3542761,5.4592818114549,177,20,0.11,12.2723195656859
11,"IFNG",3.2949389,5.18509496575984,219,11,0.05,12.1354249974997
12,"JUNB",2.7817329,4.77493601930505,272,21,0.08,11.6249107513529
13,"ZFP36",3.7357848,5.76333682607351,93,12,0.13,11.3450302688987
14,"EGR3",3.0168249,4.90480905112489,152,15,0.1,10.7015261782903
15,"MYC",2.1367191,3.54135479104606,837,45,0.05,10.3504078035767
16,"EGR4",4.0804641,7.05796992052481,28,6,0.22,10.2139978554593
17,"FOSL1",2.5554528,4.51430688250293,179,20,0.11,10.1700699430201
18,"KLF6",2.7947653,5.55843209555048,63,9,0.15,10.0015122609082
19,"IRF1",2.4215618,4.08366829825213,229,23,0.1,9.63678534832193
20,"JUND",2.0825694,3.76039983972404,356,25,0.07,9.59447216344111
21,"BTG2",3.1745672,5.33552916219155,58,14,0.25,9.40882148507998
22,"DDIT3",2.5138069,4.30011836640398,128,17,0.13,9.06125229235237
23,"CDKN1A",1.8066044,3.29936461036906,532,30,0.06,8.99377637058763
24,"MAFF",2.5900423,5.35370911128615,39,8,0.21,8.51809708328269
25,"KLF2",2.7978633,4.20835574477649,102,9,0.09,8.45290407179331
26,"SNAI1",1.9781794,3.3805129889041,270,12,0.04,8.21925678549023
27,"NR0B2",2.0520926,3.71742357127243,161,14,0.09,8.20370652925473
28,"NR4A3",2.7973186,5.07019320727657,41,5,0.12,8.17712575514572
29,"OSR2",4.9333425,5.39127673006539,32,0,0,8.11468005337454
30,"KLF10",1.9185529,4.69637655884155,41,7,0.18,7.57424029917663
31,"CEBPD",1.347393,3.41915337437428,149,13,0.09,7.43045716278567
32,"SOX9",1.1548494,3.031163037679,261,8,0.03,7.32523138120161
33,"CEBPB",1.0423205,3.06987260081112,242,23,0.1,7.31800947741586
34,"TNFAIP3",2.392967,3.50031076796353,101,7,0.07,7.01574768711084
35,"SRF",0.6145477,2.6463632441478,410,21,0.05,6.91437516332585
36,"HIST1H2BG",2.2195839,3.33819962879035,113,9,0.08,6.85358569791382
37,"IL1B",0.9848144,2.77849884178077,271,29,0.11,6.76000235678271
38,"GATA6",0.9405672,2.99796361407508,176,11,0.06,6.73196527305148
39,"NFKBIA",1.2448956,2.68137345895101,312,21,0.07,6.68775993092178
40,"FOXJ1",2.0902404,3.08324328230782,93,2,0.02,6.06931182746641
41,"BMP2",0.8026104,2.3160885322921,414,14,0.03,6.06120447907462
42,"HSF2",0.3803914,2.7901533355875,147,14,0.1,6.04714769082422
43,"FOSL2",0.9040066,2.98520786389609,96,12,0.13,5.91749167324472
44,"KLF5",0.7988028,2.86472623203722,110,8,0.07,5.84803117506165
45,"BATF3",1.0182602,2.98214369867813,90,7,0.08,5.82783198521342
46,"BCL6",1.0708269,2.44004936833814,240,15,0.06,5.80783293684974
47,"REL",0.8435643,2.36857516287009,279,29,0.1,5.79259737408454
48,"ATF4",0.7342548,2.43386876127479,203,20,0.1,5.61614252344233
49,"BHLHE40",2.1122641,3.02097044332515,72,6,0.08,5.61094657514617
50,"CEBPG",0.1935381,2.68362735343353,119,13,0.11,5.56999459892885
51,"NR1D1",1.5060298,2.96450962732073,73,7,0.1,5.52383855763388
52,"NFKBIZ",2.9803993,3.64848596424103,32,2,0.06,5.49151856997786
53,"TSC22D3",1.1805081,3.27176181497817,46,5,0.11,5.44014758125168
54,"CREM",0.5263856,2.1444880220918,326,21,0.06,5.389565040256
55,"MAFG",0.4775382,3.21289124971315,44,11,0.26,5.28023472360012
56,"SIRT1",0.4436301,1.92462672646245,511,25,0.05,5.21269925090876
57,"MEF2D",0.3233747,2.24580259037148,209,10,0.05,5.21059053938899
58,"BCL3",0.9800959,2.44128403035211,113,10,0.09,5.01214761713624
59,"MSX1",0.9320296,2.20610789530796,173,4,0.02,4.93737117817566
60,"NFKB2",0.7108607,2.26396828911613,147,18,0.12,4.90673771832157
61,"ELF3",1.6600916,2.72845111086026,60,4,0.07,4.85159875438681
62,"ETS2",0.4732399,2.24611771250402,140,10,0.07,4.82045619423835
63,"NFIL3",1.5814187,2.94339003527373,39,9,0.24,4.68312370979851
64,"SMAD7",0.3580953,1.90703300258269,229,16,0.07,4.50028414548782
65,"DEDD2",1.0484321,2.86966772619345,37,7,0.19,4.50021787571599
66,"HIST1H2BN",0.913805,2.1051002247203,137,10,0.07,4.49801094608543
67,"TGIF1",1.1512286,2.48329658748233,62,4,0.07,4.4510401659627
68,"RELB",0.6976546,2.14221147068573,118,17,0.15,4.43840940195855
69,"PER1",1.4718844,2.44997965022874,57,5,0.09,4.30185766474593
70,"HES1",1.1038703,2.06449998520764,121,4,0.03,4.29991036620901
71,"MXD1",1.872327,2.7591287244449,35,1,0.03,4.2602824936643
72,"JDP2",0.782453,2.09294169736145,83,5,0.06,4.01651856002675
73,"ZFP36L1",1.1945585,2.57076923217526,36,3,0.09,4.00089458492996
74,"HIST1H1C",0.8007476,1.89909232791865,126,13,0.1,3.98879758801907
75,"PER2",1.2349828,2.13186126550381,74,6,0.08,3.98494269954554
