"tfs","CN_BT_A","CN_AT_A","CN_BT_B","CN_AT_B","CN_BT_C","CN_AT_C","CN_BT_D","CN_AT_D","CN_BT_E","CN_AT_E","CN_BT_F","CN_AT_F","CN_BT_G","CN_AT_G"
"AHR",0.101688495449688,3.3703867609914,0.0920017105487658,1.9500280166148,0.471212339103867,2.30498955966852,0.191944506019325,1.58811581363596,0.168397263568598,1.29074504393253,-4.12955449410059,-4.55411446372053,-2.01239725008453,-1.16213482591329
"AR",0.901622741187058,1.95854523634648,-0.263630492754311,0.311701202442826,-0.859293587144066,2.17141464328482,-1.34145598128006,-0.107871686304264,0.754658666690718,3.08463960663695,-2.25527483012324,-0.694300994640054,-4.06899000009999,-0.674305400514374
"ARID1A",0.647531379793809,-0.981510111857397,-0.482360373180079,1.88275514736353,0.584229936121915,2.80816807357808,0.506629783960648,0.181897847613194,0.40835347292647,-0.283778535317746,-1.75289607596293,-2.90018388855746,0.118289443761172,-0.00233585125401874
"ARID1B",-0.829389020470853,-0.82038590722995,0.467948206254842,3.60462112355489,3.30821984461618,1.5101138463332,2.9478630391278,-1.21556421696949,-2.14906106026631,-0.820897691758865,-0.774001399808517,-2.86006841842168,0.581334226368245,-1.26887357673394
"ARID2",-1.62237383700904,1.983208182686,-1.20502606464716,2.59674595080334,2.03428640331421,0.00201759004784885,3.74602669092294,2.21203461952592,-1.22561249449648,-0.0566619264638979,-4.17904729120569,-3.57863556058811,0.104856280892608,-1.07595983752358
"ARID3A",2.45003881223289,4.14612875510943,-1.96582865533037,-0.51163412521082,-2.88176806576331,2.03836023499457,1.09312274193925,0.188734721067796,0.585780512801062,1.64562624509249,-3.06503964205124,-2.44871574606121,-2.78462907299869,1.15417641882599
"ARNT",-0.38563591817477,0.807289653126601,2.79303692829937,3.82637008354442,3.38899526963358,1.44986726740326,2.27090825170838,-1.01376431767757,-0.724506904848716,-0.738636311963536,-2.83434973841298,-4.01369490083127,-0.181380341426241,-2.90809560494529
"ARNTL",-2.16027280741389,0.949941555831183,-1.71024374605195,1.02428415848146,-0.835665280635334,2.88106944536998,-0.405866628921081,-1.22685047666831,-1.10067162837218,0.877313884598907,-1.49269029785564,0.570799612137465,-1.0637050984134,4.28510402537074
"ASCL1",3.61102944681926,2.70354388552159,-1.67439345384347,-1.37465837122395,-2.01035267019264,0.0288037004038843,0.492995205274189,-0.146132471653745,0.511737839847522,-0.953582806050578,-0.803502825173228,-0.765660207129616,0.464180267983994,0.416672371772817
"ATF1",0.787705639707135,1.49431598294912,-0.703936929354561,0.0548673987384948,-0.414937803391754,-0.685037176401707,-0.0542866971538012,-0.741285398355129,0.433436940281232,0.561945212640483,-0.71413463743704,-1.52289966652052,-0.240205383461368,1.47829499764947
