sample,condition
CN_BT_A,BT
CN_AT_A,AT
CN_BT_B,BT
CN_AT_B,AT
CN_BT_C,BT
CN_AT_C,AT
CN_BT_D,BT
CN_AT_D,AT
CN_BT_E,BT
CN_AT_E,AT
CN_BT_F,BT
CN_AT_F,AT
CN_BT_G,BT
CN_AT_G,AT
