"pathway","CN_BT_A","CN_AT_A","CN_BT_B","CN_AT_B","CN_BT_C","CN_AT_C","CN_BT_D","CN_AT_D","CN_BT_E","CN_AT_E","CN_BT_F","CN_AT_F","CN_BT_G","CN_AT_G"
"Androgen",0.130907260289262,1.05022343574345,0.167045127130104,0.371767052643449,0.810732068000213,0.932304369611078,0.0840863327744471,0.895731519164206,0.0925495420217255,1.1115089030418,-1.57727457810586,-1.09226440244999,-1.59072344787692,-1.38659318198694
"EGFR",0.111168151408754,1.55529713938137,-1.21956575401094,-0.198355267617427,-1.09660402251625,0.225657781685535,-0.865190196925371,1.51414401716824,0.605881015807371,1.30624818732414,-0.860052712683605,-0.720193127119429,-1.00122009070013,0.642784878797741
"Estrogen",-0.643397757723861,-0.267685481219942,0.323594056637988,0.706582394926808,-0.132037284591133,0.868786830296451,-0.191420725813877,1.02136121209904,-0.382973824110857,-1.24598411797865,-1.02940715163212,0.494948461394359,-1.62404424181474,2.10167762953052
"Hypoxia",0.405987105655396,1.86673581547882,-0.762489250589024,0.329196791187891,-0.93049877016472,0.120270849280436,-0.989184040571467,1.2423675678758,-0.169998683922291,1.37372837095335,-1.33922475147891,-0.369985588091098,-1.13351100414729,0.356605588533111
"JAK-STAT",0.0295166729109848,0.812879058394231,0.330241323838143,-0.118172566448332,-0.140154327769003,0.380920759642305,2.78547591418529,0.663897710655638,-0.721381818738639,-0.628174077905262,-0.854631067961992,-1.00777189118094,-0.678408218394787,-0.854237471227633
"MAPK",0.251994576614067,1.68600589917636,-1.09889446493373,0.0221296747417438,-1.15610383708305,0.17428845138606,-0.488728624340957,1.51064734685932,0.436702553878275,1.10654478401835,-1.20240189116071,-0.725321336369639,-1.11790084304777,0.601037710261679
"NFkB",0.403258113513353,1.56248448914245,-1.34454050424613,-0.305003208566426,-1.103223240769,0.0177134703792328,-0.540799096494096,0.662913865739293,0.534138284372075,1.92828124408955,-1.14981473983449,-0.560344954097144,-0.723621791685202,0.618558068456551
"p53",0.218906275227178,1.69529657090907,-0.988132840360179,-0.000511641948965642,-0.998622039052104,0.357185537306651,-0.579000840269392,0.626412878228544,0.879850118608582,1.10176892183621,-1.84461534227538,-0.262747591278168,-1.04319613764408,0.837406130712051
"PI3K",0.641328920675875,0.886897599536092,-0.824800738759782,-0.41712650413975,-0.575120651514318,-0.509815730685885,0.153196820029629,2.68423613261589,0.0132209083671579,0.437146903455377,-1.22877190684764,-1.17025541379332,-0.209137880230726,0.119001541291377
"TGFb",0.672781395315297,1.8003599423881,-0.403748260447916,-0.223754329304639,-1.38235853568782,0.841101912803719,-0.465166109381862,-0.609895445586722,1.02571069601768,1.29236484979594,-0.595098414991503,-1.26419924428141,-1.04222548428712,0.354127027648208
"TNFa",0.411054542824491,1.57489965489408,-1.27228987916244,-0.345016970590367,-1.33514643234779,-0.0123462279134403,-0.64109032834238,0.460469396349844,0.638452908715655,1.94443788713346,-1.00743313188638,-0.25073203515108,-0.763535515291773,0.598276130768113
"Trail",-0.463180839693484,-0.147376097265933,-0.35067227064022,0.160847213663435,0.121252797198332,0.396357592575002,-0.58325310533247,0.685845621802904,-0.406340892801085,3.13634825968418,-0.597888244237434,-0.605736323209183,-0.683555432159042,-0.662648279585005
"VEGF",-0.684503854803378,-0.0140794507205996,-1.39000530686828,-0.737638794288304,-1.05272838153171,-0.601622679238571,-0.25726449500971,-0.149156603848028,0.839529318728085,1.03971663601192,2.32598448984274,1.08060156375943,-0.362439971346966,-0.0363924706866228
"WNT",1.88576581381183,1.61610065232067,-0.685609877103573,-0.914676951709407,-0.305671167996607,-0.942125483672106,0.234838673957109,0.255053585472609,-1.25433638541522,-1.00475980743875,0.813577631225069,0.351137968569858,0.701593291312061,-0.750887943333491
