gene,CN_BT_A,CN_AT_A,CN_BT_B,CN_AT_B,CN_BT_C,CN_AT_C,CN_BT_D,CN_AT_D,CN_BT_E,CN_AT_E,CN_BT_F,CN_AT_F,CN_BT_G,CN_AT_G
MTND1P23,6.3948348449991155,6.789065612866223,6.392625229146089,6.847701726360844,6.444865018646837,7.152640900495333,7.038658325303475,6.931724744219133,6.458744464230826,6.760971031533652,6.822220342555903,7.185051593959203,6.480948699864669,6.58569211355238
MTND2P28,12.258492287774102,12.18296023662038,15.16380288849785,15.501537757610025,12.654552699095712,12.55964753115652,12.769374576128309,12.71358086679775,12.727555692534485,13.209164994134925,12.968075883275636,13.196974784170143,12.716908653274968,12.817139202044613
MTCO1P12,10.418176724143771,10.349092302785484,10.476848073696866,10.750337700847593,10.314048313281491,10.391834533200415,10.390112292982286,10.550510278399402,10.487355108383175,10.873539398015344,10.461496582700955,10.836108648216575,10.604224718940428,10.407659865867986
MTCO2P12,5.994088194666009,6.0933772704960845,6.211867925522727,6.4621982790736325,5.675676345327055,5.931210180347225,5.6916352493149205,6.38400353536931,5.758845841415257,6.453563586648315,6.13311359272871,6.20026584234258,5.765164644279716,5.927638995547683
MTATP6P1,15.340438196265685,15.252799962600617,15.801255406087863,16.08032591404534,15.520519149748155,15.711770907162679,15.600233934479077,15.834075351282385,15.649386457918572,15.903468404986269,15.821910159480298,16.149361099635,15.490023294101364,15.5281509362313
MTCO3P12,6.192934906216854,6.498914701730474,6.467853036027659,6.490431179667015,5.817861229438183,6.026522066733641,6.346844161435191,6.799225823478347,6.126100207385491,6.453563586648315,5.875937334659126,6.5773161449668684,6.288588171987792,6.1330155368106
AL669831.1,5.410914922144508,5.588919411221292,5.253455329065149,5.234146252460793,5.5831129938662425,5.5691207115094326,5.117132631347783,NA,5.264948779133643,5.524052289467662,5.441177798146418,5.688402630090376,5.304494612189016,5.567368374846117
LINC01128,7.4657259288428275,7.524561576787322,6.980621276479594,7.186547946319196,6.893379816009697,7.224755489915056,7.355199856247678,7.438834558828754,7.038126121023984,7.378832885117424,7.108413310634186,7.03205944248524,6.8590005467716875,7.22739828211172
LINC02593,6.535758049831411,6.694009415711532,6.438230951350915,6.404018864569073,6.641288096596721,6.6376223152338945,7.000910551436972,6.508053126866203,6.927989195685322,6.185389915726715,7.067912581442409,6.830286468737624,6.886452361545947,6.472581012773912
SAMD11,6.983374754287171,7.578781486704175,6.329484518557077,6.814586335077221,6.656510694878085,6.886578449776328,7.294087434650722,7.582834125590823,7.102922659922379,7.478409918798468,7.12824513802005,7.148297533948734,6.904467601761398,7.091714990466761
NOC2L,9.64670496470488,9.708923352744078,9.351758482006664,9.30730653556556,9.230400402000706,9.564116675796958,9.481075820711395,9.669120109825004,9.519568383924897,9.448467400577423,9.592631022837951,9.616300140107358,9.36349772071293,9.58413894958351
KLHL17,7.2067876651627945,7.409596944545401,6.4968791230866,6.374025004766393,6.671574347552806,6.960853206366336,7.2384044482020276,7.08757117929658,6.8990891653917235,7.01424316892774,7.026241955116186,6.9056288279630405,6.792838858815552,6.828305028580425
HES4,5.538215791092949,6.38180207980378,5.1476129614089174,5.507148488136183,NA,6.3732839356588205,5.314682521660718,6.098439606917999,5.882112958506633,6.125208544767203,5.200141973276141,5.298902680646481,5.409148176613929,6.554269340472626
ISG15,6.096934723335377,6.176100232643925,5.763836801150294,5.561388653142323,5.734242303395165,6.794796609472455,6.86042658644803,6.49097153850278,6.175139728275811,5.818196802384653,5.89920891900989,6.07531022588152,5.8231384474061425,6.538297517883025
AGRN,10.773611438864434,11.089939393898101,10.486829586703914,10.298148807604148,10.581620642989416,11.13635718609436,11.07471057548277,10.853359328354047,11.31287933322456,11.124721094984197,10.895343569983106,10.791120542855529,10.723820727707023,11.246922811348155
AL645608.5,7.491125973691419,7.652865903821693,7.234361062353544,7.220655231366054,7.397866250794946,7.648388484311097,7.57664518216618,7.558444478014254,7.610469331423049,7.690539542212806,7.595279477661281,7.681618160664746,7.473932715290152,7.431418605489435
C1orf159,6.992296745174814,7.030519593543877,6.194254563616365,6.5851099253370595,6.237804662395208,6.511498863911605,6.692984220062808,6.558116932992954,6.6787477383173925,6.946300608085375,6.695022930008243,7.185051593959203,6.868209313507043,7.295495407605726
AL390719.2,7.1836053265389115,7.645626330389897,6.045025419550683,6.4621982790736325,5.484201127852373,6.049397667692421,6.285369095290525,6.919009217342653,7.270249241982549,7.548826819451895,6.228068009177777,6.270353749056303,6.218312648415333,7.942974605683036
SDF4,11.034466170312841,11.018175225040482,10.86560339744178,10.802643469495107,10.660185778926587,10.899600355013392,10.827586911725971,10.806664995214069,11.162917203078353,11.046769376691701,10.940910003362985,10.93382877443994,10.854090840041527,11.010522746898785
B3GALT6,7.588477277374791,7.5166468128569495,7.350229245495841,7.509851058869161,7.451215215909153,7.358995572612008,7.483914690553968,7.728405868770933,7.499326567660363,7.680119304105917,7.651179105025255,7.556293337989702,7.158273394013213,7.323723851593519
C1QTNF12,6.675255733894012,6.840697617833781,5.900449608462992,5.712851797295125,5.871030519214186,5.881083976529691,5.404160154796774,6.005270134361233,6.312985713405556,6.637150399545529,6.13311359272871,6.151574473065253,5.48293937314404,5.852125456219582
UBE2J2,8.975287139192927,9.307011878962596,8.573029962175676,8.438452185614418,8.288409278899094,8.785612874791765,8.696949127722108,9.096407031161077,9.019680167430627,9.027227566575322,8.69673204002578,8.895340133225902,8.497369644187875,8.909751709027558
SCNN1D,7.685185397616239,7.500685818240795,6.511176069170769,6.649124813720585,6.918853109710438,7.264401094842052,7.6146320137408825,6.60650155321294,7.314696802161878,7.312915958009407,6.916474370959369,7.071855186524319,7.120238659588209,7.734495695364016
ACAP3,9.562346949798522,9.684404390522788,8.477968008934637,8.65347480775151,8.534838760392097,9.06076251048741,9.247180822017286,9.082220010446639,9.313243010205175,9.448467400577423,9.23387719715326,9.188696685985954,8.9033532135052,9.381968745252413
PUSL1,6.641625357661219,6.902742873554727,6.1764235057904475,6.312099132467882,6.088664303523844,6.622446822021248,6.285369095290525,6.637879348916677,6.793120936538481,6.637150399545529,6.433304866500455,6.421753811162517,6.39436046252729,6.616445043254183
INTS11,9.940904127645526,9.97606770157064,9.432850697500308,9.472107782800547,9.425182058042422,9.816665916907441,9.970469868319812,9.702892600918263,9.777513138009487,9.838772023432105,9.89280617697626,9.963455386321014,9.698983249238724,9.905355686515717
AL139287.1,5.844455100150071,6.176100232643925,5.352060565448221,5.361893808082636,5.614631945578873,5.401443010959822,5.9708253837403245,6.075705228699999,5.3528280473691545,NA,5.376319642822095,5.298902680646481,5.6417222332866235,5.688094611904969
CPTP,7.936986895056348,8.276354672007491,7.762460420237341,7.841123701075764,7.654433725394837,8.300279098039306,8.230735820488038,8.099115201990932,8.500078697427599,8.208373793023936,8.244126570902248,8.453267459221868,7.982159492952588,8.343029463131002
DVL1,9.140905359524995,9.361053453828399,8.41092489073319,8.467149002701541,8.450018288649824,9.222983544455458,9.200068967753547,9.104852757692095,9.406036830216328,9.385725076582512,8.937742596013452,9.334876900738903,8.8807812268147,9.27760329695032
MXRA8,8.094431826459806,7.891895717253272,8.004010735547064,7.7795331627607975,8.044087477330338,8.634959573098802,8.020445264502348,7.873864222762636,8.60670390390404,8.071560340986816,8.45118609881475,8.030280382610238,8.036267014413772,7.996561994408401
AURKAIP1,9.48859873054858,9.69320907586967,9.280515902547565,9.361812893029763,9.260600566162593,9.630096062716289,9.561071451605033,9.26916527901997,9.942391326169838,9.786300427149135,9.851646320599043,9.92775497221533,9.5045244238004,9.83681972706979
CCNL2,11.487177481900405,11.596399594772015,11.178264508949509,11.19834084202588,11.04197427830299,11.302079088400559,11.4439040420817,11.220200295695507,11.152240939219753,11.390641959070498,11.11809811200464,11.258047075699368,11.238806151655078,11.390620626049925
MRPL20-AS1,7.973489488155005,7.860972496242306,7.8606368270278235,7.750643957058452,7.865654375678998,7.594968534461115,7.645541102050865,7.728405868770933,7.730161756768508,7.6590502844254775,7.704993358182177,7.85129127174544,7.782326523280938,7.842497699977729
MRPL20,9.385703909047963,9.415273710124355,9.537832096396857,9.607163321022687,9.5648505952525,9.65268073526177,9.474204899557181,9.50439679333,9.63141809443446,9.560646196215439,9.513785144850855,9.73052355504271,9.563821651707125,9.744126879400342
ANKRD65,5.6994458717207674,5.812262959081945,5.739755259877475,5.664109788907702,5.7626572034826395,5.6004383787102725,5.761024431325275,6.075705228699999,5.693023632514274,NA,5.472545248373676,5.467513545867442,5.6840541929053945,5.902904398757666
VWA1,8.599608752936843,8.907779851324255,8.395593650045482,8.379287171153097,8.373779955672626,8.871558564911306,8.602439507488755,8.08210610696988,9.101238872547126,8.907273544754863,8.892074410612762,9.01244742354268,8.953966472511203,8.89728312322192
ATAD3C,6.129649728343621,5.959656326841284,6.482439076577975,6.476383791432461,6.610352393336225,6.696776657668105,6.784697667951706,6.771200578030859,6.356155143766079,6.78061270419437,6.584518298682013,6.783117071197852,6.516524022269326,6.554269340472626
ATAD3B,8.596686551107668,8.969964471582935,7.882797613878859,7.647854264302518,7.568521615583945,8.281079251168668,8.480880598161823,8.37992578835284,8.588717406025689,8.571826901996515,8.060215291261,8.207470650179209,8.153890130660796,8.532321421942823
ATAD3A,7.668583528153652,8.080880588935498,7.079875979716297,7.022223573958437,6.931423052394697,7.555562893711192,7.570215650557662,7.590873233642723,7.863300108766813,7.857055158993129,7.537126315693806,7.574877316625029,7.572999441174373,7.9490280048234165
SSU72,10.091731395582856,10.18150244953357,10.29462497254267,10.275004054692355,10.121793023435616,10.299438583385266,10.185539570707496,10.309963041708583,10.263312097855627,10.454667711701108,10.299306017816237,10.444713033320982,10.244636692344004,10.25722230515443
AL691432.2,6.842467732947705,6.775863630520265,7.242953153905072,7.022223573958437,6.625903162646077,7.008326938226135,6.942369831392805,7.064663514625471,6.644332198691082,6.78061270419437,7.223510156552768,7.334312947202223,7.112509886874639,7.102617423351846
MIB2,8.908515922368975,9.187471506157868,8.129790065121407,8.215578320306603,8.17141422609665,8.679632276579023,9.044101121016917,8.202418565846484,9.135713982964107,8.87108574642844,8.957276664694126,8.931841575333975,8.386377721280466,9.054340113212978
CDK11B,8.119079727693672,8.243163763547267,8.082702096418886,7.873642276972676,7.923427887315851,8.175861066093438,8.048469972787808,8.017965414243973,8.065411656144791,8.126317597342284,7.947529272240752,7.715512774988477,7.762708788406039,8.019754297116611
SLC35E2B,9.655156616737804,9.152145401955488,9.091268018542413,8.976524388478774,9.375450394900257,9.523847277661075,9.342695686568577,8.61488270545946,8.552057372545546,8.379143057224367,9.446266605925944,9.614055623501129,9.536645144886132,9.453973540564979
CDK11A,7.890020253254063,7.98087687476418,7.442637580352704,7.502938369453313,7.204281590641019,7.804455203749127,8.098476053697583,7.969458753866801,7.754567404219605,8.006324931707924,7.82529013204873,7.732166065569997,7.681456182075431,7.809607356531556
AL031282.2,8.056651962327459,7.8857638713388365,7.688903305743052,7.773801415627991,7.379635674668259,7.837688034926151,8.08049193050356,7.906437960007066,7.950391607240144,8.039311329660736,8.085796096964115,7.8963171507471746,7.885700195192976,7.887319728259628
SLC35E2A,7.7912351006753,6.9738379831409585,8.452264593933007,8.189983036404952,7.576546679059673,7.456351510427789,8.21020684333178,7.346888660115146,9.009575892288426,8.560509452041385,7.831352007316818,7.812665566096731,7.834939042637286,7.474022196019755
